order,Catalogue Number,Species,genus,Longitude,Latitude,Coordinate Uncertainty in Metres
181,NSW 1059781,Cryptandra amara,Cryptandra,148.34531,-32.66406,
182,CANB 126684.1,Cryptandra amara,Cryptandra,149.2,-35.2167,5000
183,NE 103215,Cryptandra amara,Cryptandra,151.6166667,-29.25,
184,CANB 54241.1,Cryptandra amara,Cryptandra,149.1,-35.2667,1000
185,CANB 249006.1,Cryptandra amara,Cryptandra,151.9333,-28.5667,1000
186,NE 48268,Cryptandra amara,Cryptandra,151.8333333,-30.56666667,
187,CANB 805019.1,Cryptandra amara,Cryptandra,149.7022,-35.2311,50
188,AD 99208071,Cryptandra amara,Cryptandra,151.2508992,-29.43612405,1000
189,CANB 821971.1,Cryptandra amara,Cryptandra,147.2667,-42.6922,50
190,NSW 387823,Cryptandra amara,Cryptandra,151.100838,-30.16854733,5000
191,NE 12720,Cryptandra amara,Cryptandra,151.65,-30.5,
192,CBG 9515868.1,Cryptandra amara,Cryptandra,149.2667,-35.35,1000
193,CBG 9300918.1,Cryptandra amara,Cryptandra,151.25,-29.4375,1000
194,CANB 5890.1,Cryptandra amara,Cryptandra,150.1833,-35.75,5000
195,CANB 725931.1,Cryptandra amara,Cryptandra,148.9167,-34.85,1000
196,CBG 12476.1,Cryptandra amara,Cryptandra,149.2167,-35.35,3000
197,NSW 386678,Cryptandra amara,Cryptandra,152.08,-29.67,5
198,CANB 126661.1,Cryptandra amara,Cryptandra,149.1833,-35.2167,5000
199,NSW 434302,Cryptandra amara,Cryptandra,151.9475,-28.5480556,50
200,MEL 1587193A,Cryptandra amara,Cryptandra,146.4458,-36.8667,1000
201,CANB 28937.1,Cryptandra amara,Cryptandra,149,-32.6333,1000
202,MEL 2416635A,Cryptandra amara,Cryptandra,147.5503611,-36.0044167,50
203,CBG 8905441.1,Cryptandra amara,Cryptandra,146.6681,-37.5111,50
204,BRI AQ0009487,Cryptandra amara,Cryptandra,152.0094254,-28.6067405,2000
205,NSW 386738,Cryptandra amara,Cryptandra,,,
206,DNA A0027521,Cryptandra amara,Cryptandra,,,
207,MEL 1606158A,Cryptandra amara,Cryptandra,151.25,-29.4375,50
208,MEL 2404750A,Cryptandra amara,Cryptandra,146.4375,-36.86833333,50
209,CANB 521123.1,Cryptandra amara,Cryptandra,148.4431,-34.7094,1000
210,NSW 746614,Cryptandra amara,Cryptandra,,,
211,CBG 12678.1,Cryptandra amara,Cryptandra,149.2167,-35.35,3000
212,CANB 467469.1,Cryptandra amara,Cryptandra,150.5833,-30.3667,1000
213,CBG 9809167.1,Cryptandra amara,Cryptandra,149.125,-35.3056,500
214,HO307380,Cryptandra amara,Cryptandra,151.250831,-29.436047,1000
215,CANB 16083.1,Cryptandra amara,Cryptandra,149.7167,-35.3833,5000
216,HO564704,Cryptandra amara,Cryptandra,147.266569,-42.692219,50
217,NSW 386693,Cryptandra amara,Cryptandra,149.82,-34.6583333,
218,NE 22933,Cryptandra amara,Cryptandra,152.4,-30.38333333,
219,HO575878,Cryptandra amara,Cryptandra,147.505667,-42.021722,50
220,CBG 8604977.2,Cryptandra amara,Cryptandra,149.5361,-36.3167,1000
221,BRI AQ0109349,Cryptandra amara,Cryptandra,151.9427672,-28.5234107,2000
222,CANB 83469.1,Cryptandra amara,Cryptandra,150,-34.55,5000
223,NE 29570,Cryptandra amara,Cryptandra,152.25,-30.38333333,
224,NSW 807398,Cryptandra amara,Cryptandra,146.6681,-37.5111,2000
225,CBG 9519422.1,Cryptandra amara,Cryptandra,149.1333,-35.3083,2000
226,NSW 746207,Cryptandra amara,Cryptandra,150.3794,-33.5564,
227,MEL 0619033A,Cryptandra amara,Cryptandra,148.4472,-36.4569,1000
228,HO527799,Cryptandra amara,Cryptandra,147.265961,-42.693797,50
229,MEL 1556251A,Cryptandra amara,Cryptandra,146.9542,-37.4694,1000
230,NE 70516,Cryptandra amara,Cryptandra,151.9166667,-30.13333333,
231,CBG 49738.1,Cryptandra amara,Cryptandra,148.55,-32.7833,1000
232,CBG 9317159.1,Cryptandra amara,Cryptandra,149.225,-35.3917,50
233,HO410599,Cryptandra amara,Cryptandra,148.052339,-42.048945,50
234,NE 4239,Cryptandra amara,Cryptandra,151.65,-30.5,
235,HO411358,Cryptandra amara,Cryptandra,146.994961,-42.402315,50
236,MEL 2299914A,Cryptandra amara,Cryptandra,149.225,-35.3917,1000
237,CBG 9204215.1,Cryptandra amara,Cryptandra,150.9167,-32.75,1000
238,NSW 812239,Cryptandra amara,Cryptandra,150.58,-30.37,1000
239,MEL 0223406A,Cryptandra amara,Cryptandra,146.5736,-36.8514,50
240,MEL 2278472A,Cryptandra amara,Cryptandra,146.3894,-36.3242,1000
241,MEL 2103216A,Cryptandra amara,Cryptandra,146.6,-36.5,
242,BRI AQ0349385,Cryptandra amara,Cryptandra,151.9427672,-28.6734107,2000
243,NSW 387722,Cryptandra amara,Cryptandra,152.22,-31.2,1000
244,CBG 9317115.1,Cryptandra amara,Cryptandra,149.2167,-35.4,1000
245,CANB 216325.1,Cryptandra amara,Cryptandra,149.1,-35.2667,5000
246,CANB 126662.1,Cryptandra amara,Cryptandra,149.2833,-35.2833,5000
247,CBG 8906228.1,Cryptandra amara,Cryptandra,148.8167,-35.5917,1000
248,NSW 654903,Cryptandra amara,Cryptandra,,,
249,NE 22556,Cryptandra amara,Cryptandra,149.9333333,-35.25,
250,NE 29593,Cryptandra amara,Cryptandra,151.9333333,-30.08333333,
251,CANB 804931.1,Cryptandra amara,Cryptandra,149.7297,-35.2267,50
252,CANB 5886.1,Cryptandra amara,Cryptandra,149,-35.3333,5000
253,CANB 33772.1,Cryptandra amara,Cryptandra,149.75,-34.4333,1000
254,NE 45580,Cryptandra amara,Cryptandra,151.6,-30.51666667,
255,CANB 303534.1,Cryptandra amara,Cryptandra,152.3333,-30.4,5000
256,CANB 127679.1,Cryptandra amara,Cryptandra,149.1,-35.2667,5000
257,MEL 2095501A,Cryptandra amara,Cryptandra,148.4431,-34.7094,1000
258,NE 38799,Cryptandra amara,Cryptandra,150.1166667,-30.06666667,
259,NSW 386680,Cryptandra amara,Cryptandra,150.22,-34.67,
260,NSW 386859,Cryptandra amara,Cryptandra,148.95,-32.55,5
261,CBG 13114.1,Cryptandra amara,Cryptandra,149.8667,-35.3167,1000
262,CBG 8604977.1,Cryptandra amara,Cryptandra,149.5361,-36.3167,1000
263,NE 29591,Cryptandra amara,Cryptandra,151.1666667,-30.53333333,
264,MEL 2470077A,Cryptandra amara,Cryptandra,147.40175,-37.0545833,50
265,NSW 387567,Cryptandra amara,Cryptandra,150.1,-34.7,5
266,CANB 467470.1,Cryptandra amara,Cryptandra,149.3667,-31.5,1000
267,CBG 9300899.1,Cryptandra amara,Cryptandra,149.8167,-34.6583,1000
268,CBG 13483.1,Cryptandra amara,Cryptandra,150.05,-35.2,4000
269,MEL 2323746A,Cryptandra amara,Cryptandra,147.7389,-36.0667,1000
270,NE 50120,Cryptandra amara,Cryptandra,151.7333333,-30.6,
271,MEL 1555809A,Cryptandra amara,Cryptandra,146.45,-36.8333,1000
272,NSW 278626,Cryptandra amara,Cryptandra,149.2633333,-31.3786111,50
273,NE 51360,Cryptandra amara,Cryptandra,151.65,-30.5,
274,NE 29567,Cryptandra amara,Cryptandra,152.25,-30.38333333,
275,CBG 13046.1,Cryptandra amara,Cryptandra,149.85,-35.3333,1000
276,NE 49231,Cryptandra amara,Cryptandra,149.0666667,-31.05,
277,NSW 506388,Cryptandra amara,Cryptandra,148.4430556,-34.7094444,1000
278,NSW 465181,Cryptandra amara,Cryptandra,149.27,-35.35,1000
279,NSW 393166,Cryptandra amara,Cryptandra,,,
280,CBG 8307408.1,Cryptandra amara,Cryptandra,150.3,-33.6167,1000
281,NSW 296391,Cryptandra amara,Cryptandra,151.35,-29.37,1000
282,CBG 38328.1,Cryptandra amara,Cryptandra,149.5,-30.75,1000
283,NE 29600,Cryptandra amara,Cryptandra,149.1666667,-35.26666667,
284,NSW 386700,Cryptandra amara,Cryptandra,150.08,-34.17,5
285,CANB 467442.1,Cryptandra amara,Cryptandra,151.35,-29.3667,5000
286,NSW 1055848,Cryptandra amara,Cryptandra,150.2263419,-34.547615,5
287,HO575890,Cryptandra amara,Cryptandra,147.589722,-41.72,50
288,AD 99920221,Cryptandra amara,Cryptandra,149.1570516,-31.17502671,1000
289,CANB 303531.1,Cryptandra amara,Cryptandra,148.9667,-35.45,5000
290,NSW 386852,Cryptandra amara,Cryptandra,147.42,-41.5,5
291,AD 251035,Cryptandra amara,Cryptandra,151.056667,-31.556944,150
292,NSW 424098,Cryptandra amara,Cryptandra,149.1561111,-31.1763889,50
293,CANB 88702.1,Cryptandra amara,Cryptandra,149.1167,-35.25,5000
294,MEL 2323614A,Cryptandra amara,Cryptandra,151.0566667,-31.5569444,50
